City,Restaurant,Price,Avg ratings,Total ratings,Delivery time,Chinese,North Indian,Indian,Fast Food,Beverages,Desserts,Biryani,Snacks,South Indian,Continental
5,Grillz N Gravy,500.0,2.9,80,69,1,0,1,0,0,0,0,0,0,0
4,The Corner Courtyard,1100.0,3.6,20,73,0,0,0,0,0,0,0,0,0,1
2,Blisss,300.0,4.3,100,43,0,0,0,1,0,1,0,0,0,0
2,The Golden Wok,1200.0,4.2,50,48,1,0,0,0,0,0,0,0,0,0
2,Singh Saab,600.0,4.1,1000,50,1,1,1,0,1,1,1,0,0,0
1,Subway,350.0,4.3,500,33,0,0,0,1,1,1,0,1,0,0
3,Coconut Grove,1000.0,2.9,80,37,0,1,1,0,0,0,0,0,0,0
2,J.J Jalebi,100.0,3.6,500,25,0,0,0,0,0,1,0,0,0,0
4,Flavours Of China,1000.0,4.5,100,67,1,1,1,0,0,0,0,0,0,0
4,One Step Up,800.0,4.6,100,61,0,0,0,0,0,0,0,0,0,1
6,The Brew Room,700.0,4.7,50,56,0,0,0,0,0,0,0,0,0,1
6,Hotel Millath,350.0,4.4,100,43,1,0,1,0,0,0,0,0,1,0
6,Amadora Gourmet Ice Creams,300.0,4.7,500,36,0,0,0,0,0,1,0,0,0,0
5,Pind Balluchi,400.0,3.8,100,40,0,1,1,0,0,0,0,0,0,0
4,Zeeshan Park Circus,400.0,4.1,500,63,0,0,1,0,0,1,0,0,0,0
4,Food Station College Street,500.0,4.5,50,39,1,0,1,0,0,0,0,0,1,1
6,Pantry D'Or,850.0,4.2,100,65,0,0,0,0,0,0,0,0,0,1
5,Chawla'S (Shalimar Bagh),400.0,4.2,50,64,1,1,1,0,0,0,0,0,0,0
5,Berco'S,600.0,4.1,100,39,1,0,0,0,1,1,0,0,0,0
1,Kritunga Restaurant,500.0,4.0,1000,49,1,1,1,0,0,0,1,0,1,0
0,Bistro Oui,800.0,4.2,100,59,0,0,0,0,0,0,0,0,0,1
6,Kumarakom,450.0,4.3,500,57,1,1,1,0,0,0,0,0,0,0
1,Cafe 555 & Aqeeq Restaurant,300.0,3.9,5000,46,1,1,1,0,0,0,1,0,0,0
6,Frootster,150.0,4.1,100,63,0,0,0,1,1,0,0,0,0,0
6,Mandarin Chinese Restaurant,350.0,4.0,500,55,1,0,0,0,0,0,0,0,0,0
6,Rangi'S,500.0,4.3,100,53,1,0,0,0,0,0,0,0,0,0
1,Shadab Go,500.0,4.1,1000,68,1,1,1,0,0,0,1,0,0,0
4,Haji Saheb Park Circus,800.0,4.2,500,54,1,1,1,0,0,0,0,0,0,0
